"Land","keller_coef","rollstuhl_coef","baujahr_coef"
"Baden-Württemberg",62902.9534738259,100935.377044235,1156.35094043248
"Bayern",145834.783977385,40668.6620649696,1160.91229508767
"Brandenburg",49657.3207625198,-10165.512271884,1213.54634575125
"Hessen",141897.124894006,-32190.652272773,1681.71808272269
"Niedersachsen",8548.7294326744,8498.43965968519,769.424753827015
"Nordrhein-Westfalen",29090.9717121467,37557.4930950163,1460.42082074993
"Rheinland-Pfalz",49620.2304512775,-77723.3663630164,1840.00755430291
"Saarland",41355.4840733528,17182.7137936216,1779.52627311425
"Sachsen",6133.30351902684,-68097.8891315709,637.002722030507
"Sachsen-Anhalt",4074.76957276835,27429.8218927249,784.723390586699
"Schleswig-Holstein",11573.9335751644,116962.64562021,1207.87706051174
"Thüringen",-28892.9520034435,-36183.1392135532,1012.2890525545
