Wahlkreis-Bez;AGS;Landname;Gemeindename;CDU/CSU;SPD;AFD;FDP;DIE LINKE;GRÜNE;Sieger
Flensburg – Schleswig;01001000;Schleswig-Holstein;Flensburg, Stadt;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059045;Schleswig-Holstein;Kappeln, Stadt;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059075;Schleswig-Holstein;Schleswig, Stadt;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059113;Schleswig-Holstein;Glücksburg (Ostsee), Stadt;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059120;Schleswig-Holstein;Harrislee;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059183;Schleswig-Holstein;Handewitt;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059107;Schleswig-Holstein;Eggebek;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059128;Schleswig-Holstein;Janneby;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059131;Schleswig-Holstein;Jerrishoe;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059132;Schleswig-Holstein;Jörl;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059138;Schleswig-Holstein;Langstedt;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059162;Schleswig-Holstein;Sollerup;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059169;Schleswig-Holstein;Süderhackstedt;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059174;Schleswig-Holstein;Wanderup;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059012;Schleswig-Holstein;Borgwedel;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059018;Schleswig-Holstein;Busdorf;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059019;Schleswig-Holstein;Dannewerk;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059026;Schleswig-Holstein;Fahrdorf;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059032;Schleswig-Holstein;Geltorf;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059043;Schleswig-Holstein;Jagel;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059056;Schleswig-Holstein;Lottorf;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059078;Schleswig-Holstein;Selk;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059103;Schleswig-Holstein;Ausacker;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059116;Schleswig-Holstein;Großsolt;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059126;Schleswig-Holstein;Hürup;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059127;Schleswig-Holstein;Husby;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059182;Schleswig-Holstein;Freienwill;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059002;Schleswig-Holstein;Arnis, Stadt;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059034;Schleswig-Holstein;Grödersby;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059067;Schleswig-Holstein;Oersberg;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059068;Schleswig-Holstein;Rabenkirchen-Faulück;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059106;Schleswig-Holstein;Dollerup;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059118;Schleswig-Holstein;Grundhof;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059137;Schleswig-Holstein;Langballig;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059145;Schleswig-Holstein;Munkbrarup;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059157;Schleswig-Holstein;Ringsberg;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059176;Schleswig-Holstein;Wees;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059178;Schleswig-Holstein;Westerholz;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059159;Schleswig-Holstein;Sieverstedt;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059171;Schleswig-Holstein;Tarp;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059184;Schleswig-Holstein;Oeversee;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059076;Schleswig-Holstein;Schnarup-Thumby;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059161;Schleswig-Holstein;Sörup;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059185;Schleswig-Holstein;Mittelangeln;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059105;Schleswig-Holstein;Böxlund;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059115;Schleswig-Holstein;Großenwiehe;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059123;Schleswig-Holstein;Hörup;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059124;Schleswig-Holstein;Holt;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059129;Schleswig-Holstein;Jardelund;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059143;Schleswig-Holstein;Medelby;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059144;Schleswig-Holstein;Meyn;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059149;Schleswig-Holstein;Nordhackstedt;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059151;Schleswig-Holstein;Osterby;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059158;Schleswig-Holstein;Schafflund;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059173;Schleswig-Holstein;Wallsbüll;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059177;Schleswig-Holstein;Weesby;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059179;Schleswig-Holstein;Lindewitt;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059006;Schleswig-Holstein;Böel;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059055;Schleswig-Holstein;Loit;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059060;Schleswig-Holstein;Mohrkirch;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059063;Schleswig-Holstein;Norderbrarup;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059065;Schleswig-Holstein;Nottfeld;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059070;Schleswig-Holstein;Rügge;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059072;Schleswig-Holstein;Saustrup;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059074;Schleswig-Holstein;Scheggerott;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059080;Schleswig-Holstein;Steinfeld;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059083;Schleswig-Holstein;Süderbrarup;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059094;Schleswig-Holstein;Ulsnis;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059095;Schleswig-Holstein;Wagersrott;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059187;Schleswig-Holstein;Boren;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
Flensburg – Schleswig;01059008;Schleswig-Holstein;Böklund;0,203896431;0,254768369;0,057757873;0,107426172;0,041847446;0,186424073;SPD
